"Occupation - National Occupational Classification (NOC) 2016 (693A)","Total - Period of immigration [4]","  1980 to 1990","  1991 to 2000","  2001 to 2010","    2001 to 2005","    2006 to 2010","  2011 to 2016 [5]", 
"          2263 Inspectors in public and environmental health and occupational health and safety",4195,880,1170,1510,700,810,625 
"          2264 Construction inspectors",2275,440,560,975,485,485,305 
"        227 Transportation officers and controllers",3700,850,1015,1325,690,640,500 
"          2271 Air pilots, flight engineers and flying instructors",2090,500,530,755,405,350,300 
"          2272 Air traffic controllers and related occupations",440,90,165,140,70,75,45 
"          2273 Deck officers, water transport",520,100,155,195,80,115,80 
"          2274 Engineer officers, water transport",430,85,130,160,95,70,55 
"          2275 Railway traffic controllers and marine traffic regulators",220,80,40,70,35,35,25 
"        228 Technical occupations in computer and information systems",35690,5670,10610,12610,6430,6180,6795 
"          2281 Computer network technicians",19030,3270,5625,6760,3470,3285,3375 
"          2282 User support technicians",12350,1980,3710,4360,2245,2115,2290 
"          2283 Information systems testing technicians",4310,415,1270,1495,715,780,1130 
"    3 Health occupations",300895,57750,85555,109820,53220,56595,47770 
"      30 Professional occupations in nursing",61440,12090,18895,23305,12290,11015,7150 
"        301 Professional occupations in nursing",61440,12090,18890,23305,12290,11015,7150 
"          3011 Nursing co-ordinators and supervisors",2305,570,775,740,415,325,215 
"          3012 Registered nurses and registered psychiatric nurses",59140,11520,18120,22565,11875,10695,6935 
"      31 Professional occupations in health (except nursing)",64035,15320,18270,20935,10605,10330,9510 
"        311 Physicians, dentists and veterinarians",36685,8940,10255,12045,6215,5830,5440 
"          3111 Specialist physicians",11790,3215,2775,3750,1775,1975,2050 
"          3112 General practitioners and family physicians",16585,3580,4920,5580,2795,2780,2500 
"          3113 Dentists",6500,1845,2095,1925,1080,850,625 
"          3114 Veterinarians",1815,300,470,785,565,225,260 
"        312 Optometrists, chiropractors and other health diagnosing and treating professionals",4335,1200,1365,1240,635,610,530 
"          3121 Optometrists",1005,350,295,275,140,130,90 
"          3122 Chiropractors",705,285,295,95,65,30,40 
"          3124 Allied primary health practitioners",1505,295,395,575,320,255,240 
"          3125 Other professional occupations in health diagnosing and treating",1120,280,380,305,110,190,155 
"        313 Pharmacists, dietitians and nutritionists",14070,2950,4160,4870,2460,2410,2090 
"          3131 Pharmacists",12345,2505,3585,4355,2180,2175,1905 
"          3132 Dietitians and nutritionists",1725,445,580,515,275,235,185 
"        314 Therapy and assessment professionals",8945,2225,2490,2775,1305,1475,1450 
"          3141 Audiologists and speech-language pathologists",1230,375,400,265,140,125,200 
"          3142 Physiotherapists",4650,1080,1075,1630,740,885,875 
"          3143 Occupational therapists",1885,565,580,510,250,265,225 
"          3144 Other professional occupations in therapy and assessment",1175,210,435,380,175,200,155 
"      32 Technical occupations in health",72885,12210,21340,29510,15465,14045,9815 
"        321 Medical technologists and technicians (except dental health)",30945,4900,9360,12750,6965,5785,3935 
"          3211 Medical laboratory technologists",4205,910,1315,1635,1000,635,350 
"          3212 Medical laboratory technicians and pathologists' assistants",7200,1200,2030,3135,1585,1555,835 
"          3213 Animal health technologists and veterinary technicians",1255,145,325,565,250,310,225 
"          3214 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",1175,220,435,440,215,220,80 
"          3215 Medical radiation technologists",2730,580,955,920,565,355,280 
"          3216 Medical sonographers",1775,175,530,860,520,335,205 
"          3217 Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.",705,115,190,375,230,145,20 
"          3219 Other medical technologists and technicians (except dental health)",11905,1560,3575,4825,2600,2230,1940 
"        322 Technical occupations in dental health care",7350,1685,2285,2635,1585,1055,740 
"          3221 Denturists",430,110,145,105,75,35,75 
"          3222 Dental hygienists and dental therapists",4020,910,1385,1520,935,585,200 
"          3223 Dental technologists, technicians and laboratory assistants",2900,660,760,1015,575,440,470 
"        323 Other technical occupations in health care",34590,5635,9695,14130,6915,7215,5135 
"          3231 Opticians",2150,615,675,680,385,295,175 
"          3232 Practitioners of natural healing",3895,620,1465,1415,770,640,395 
"          3233 Licensed practical nurses",18415,2620,4660,8230,3755,4480,2905 
"          3234 Paramedical occupations",1895,450,645,610,350,255,190 
"          3236 Massage therapists",5840,995,1615,2345,1225,1120,890 
"          3237 Other technical occupations in therapy and assessment",2390,330,630,845,425,420,585 
"      34 Assisting occupations in support of health services",102535,18125,27055,36060,14860,21200,21295 
"        341 Assisting occupations in support of health services",102535,18130,27055,36065,14860,21205,21295 
"          3411 Dental assistants",8575,1470,2850,3200,1705,1495,1055 
"          3413 Nurse aides, orderlies and patient service associates",86115,15260,21885,29970,11875,18095,19005 
"          3414 Other assisting occupations in support of health services",7845,1395,2320,2895,1285,1610,1235 
"    4 Occupations in education, law and social, community and government services",387600,69395,108105,140000,68375,71625,70095 
"      40 Professional occupations in education services",111150,20985,31755,40150,20765,19385,18265 
